K,Time,ARI,AMI,algo,dataset,N,M,TrueK,id,index,distance,agg
18.0,3.5816177380000003,0.29847425136786,0.46231196987352835,kmeans,ecoli,336,6,8,100,hartigan,conventional,mean
7.0,3.583053526,0.6908661823045248,0.6506883382432446,kmeans,ecoli,336,6,8,100,wb_index,conventional,mean
30.0,3.584383507,0.18502028770067805,0.38555161437109703,kmeans,ecoli,336,6,8,100,xu_index,conventional,mean
3.0,3.542062103,0.41489302881592416,0.3620801757079963,kmeans,ecoli,336,6,8,100,elbow_11,conventional,amin
6.0,3.5420453940000005,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_22,conventional,amin
5.0,3.542040907,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,100,elbow_12,conventional,amin
6.0,3.5420442330000004,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_21,conventional,amin
5.0,3.542045276,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,100,elbow_33,conventional,amin
5.0,3.586326842,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,100,calinski_harabasz,conventional,amax
3.0,3.585499165,0.41489302881592416,0.3620801757079963,kmeans,ecoli,336,6,8,100,hartigan,conventional,amin
6.0,3.583805859,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,wb_index,conventional,amin
30.0,3.582657244,0.18502028770067805,0.38555161437109703,kmeans,ecoli,336,6,8,100,xu_index,conventional,amin
6.0,3.6230771840000005,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_11,euclidean,mean
6.0,3.6230395910000004,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_22,euclidean,mean
6.0,3.6230577330000004,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_12,euclidean,mean
6.0,3.6230346550000005,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_21,euclidean,mean
6.0,3.623033467000001,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_33,euclidean,mean
5.0,3.6629445900000004,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,100,calinski_harabasz,euclidean,mean
9.0,3.6621964490000005,0.50661074498176,0.5922311312681101,kmeans,ecoli,336,6,8,100,hartigan,euclidean,mean
6.0,3.661812094000001,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,wb_index,euclidean,mean
29.0,3.6617007810000013,0.18486124250070668,0.39553822716525083,kmeans,ecoli,336,6,8,100,xu_index,euclidean,mean
3.0,3.623041252000001,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,100,elbow_11,euclidean,amin
6.0,3.6230277530000006,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_22,euclidean,amin
5.0,3.6230190790000005,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,100,elbow_12,euclidean,amin
6.0,3.6230150350000008,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_21,euclidean,amin
5.0,3.6230115240000007,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,100,elbow_33,euclidean,amin
3.0,3.648437564,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,100,calinski_harabasz,euclidean,amax
3.0,3.663888247,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,100,hartigan,euclidean,amin
3.0,3.6622741030000006,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,100,wb_index,euclidean,amin
30.0,3.6648204940000015,0.18502028770067805,0.38555161437109703,kmeans,ecoli,336,6,8,100,xu_index,euclidean,amin
2.0,6.536866077000002,0.03797812133245865,0.061101009977425846,kmeans,ecoli,336,6,8,100,silhouette,-,wss_min
25.0,3.453052326,0.17989843385505147,0.39431526690443436,rswap,ecoli,336,6,8,100,elbow_11,conventional,mean
4.0,3.452983868,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_22,conventional,mean
4.0,3.4529784520000004,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_12,conventional,mean
25.0,3.45297697,0.17989843385505147,0.39431526690443436,rswap,ecoli,336,6,8,100,elbow_21,conventional,mean
5.0,3.452975545,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,100,elbow_33,conventional,mean
4.0,3.49697737,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,calinski_harabasz,conventional,mean
18.0,3.495347983,0.24705526258478216,0.4321622060575044,rswap,ecoli,336,6,8,100,hartigan,conventional,mean
4.0,3.495687321,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,wb_index,conventional,mean
30.0,3.496703343,0.15892857135861496,0.3756731888487045,rswap,ecoli,336,6,8,100,xu_index,conventional,mean
4.0,3.452986508,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_11,conventional,amin
4.0,3.452970305,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_22,conventional,amin
4.0,3.452965776,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_12,conventional,amin
4.0,3.452966617,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_21,conventional,amin
5.0,3.4529652840000002,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,100,elbow_33,conventional,amin
4.0,3.496974616,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,calinski_harabasz,conventional,amax
22.0,3.496225387,0.21847457562590475,0.40789148012034654,rswap,ecoli,336,6,8,100,hartigan,conventional,amin
4.0,3.4957897360000003,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,wb_index,conventional,amin
30.0,3.5049815270000004,0.15892857135861496,0.3756731888487045,rswap,ecoli,336,6,8,100,xu_index,conventional,amin
3.0,3.729490426,0.6767697357152568,0.5463552064285665,rswap,ecoli,336,6,8,100,elbow_11,euclidean,mean
4.0,3.7294436719999995,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_22,euclidean,mean
3.0,3.7294481809999995,0.6767697357152568,0.5463552064285665,rswap,ecoli,336,6,8,100,elbow_12,euclidean,mean
4.0,3.729438105,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_21,euclidean,mean
5.0,3.729439092,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,100,elbow_33,euclidean,mean
2.0,3.770371622,0.37914664275934495,0.3036394013608832,rswap,ecoli,336,6,8,100,calinski_harabasz,euclidean,mean
8.0,3.7706291589999994,0.42318918654328996,0.5477648557471473,rswap,ecoli,336,6,8,100,hartigan,euclidean,mean
3.0,3.7715445880000003,0.6767697357152568,0.5463552064285665,rswap,ecoli,336,6,8,100,wb_index,euclidean,mean
8.0,3.7714484849999996,0.42318918654328996,0.5477648557471473,rswap,ecoli,336,6,8,100,xu_index,euclidean,mean
28.0,3.7294440049999995,0.16300788473438402,0.37568579201822455,rswap,ecoli,336,6,8,100,elbow_11,euclidean,amin
4.0,3.7294369200000004,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,elbow_22,euclidean,amin
3.0,3.7294324519999993,0.6767697357152568,0.5463552064285665,rswap,ecoli,336,6,8,100,elbow_12,euclidean,amin
28.0,3.7294303179999995,0.16300788473438402,0.37568579201822455,rswap,ecoli,336,6,8,100,elbow_21,euclidean,amin
5.0,3.729434766,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,100,elbow_33,euclidean,amin
2.0,3.7668299330000004,0.37914664275934495,0.3036394013608832,rswap,ecoli,336,6,8,100,calinski_harabasz,euclidean,amax
9.0,3.7761446239999996,0.3426981044689343,0.4936062244523975,rswap,ecoli,336,6,8,100,hartigan,euclidean,amin
3.0,3.767954649000001,0.6767697357152568,0.5463552064285665,rswap,ecoli,336,6,8,100,wb_index,euclidean,amin
28.0,3.770453388999999,0.16300788473438402,0.37568579201822455,rswap,ecoli,336,6,8,100,xu_index,euclidean,amin
4.0,6.934564685999999,0.6956804468732476,0.5838444976067289,rswap,ecoli,336,6,8,100,silhouette,-,wss_min
6.0,3.532811944,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,105,elbow_11,conventional,mean
6.0,3.532726093,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,105,elbow_22,conventional,mean
6.0,3.532712506,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,105,elbow_12,conventional,mean
6.0,3.532720335,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,105,elbow_21,conventional,mean
6.0,3.5327135160000003,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,105,elbow_33,conventional,mean
6.0,3.572553719,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,105,calinski_harabasz,conventional,mean
